road,id,model_type,condition,name,lat,lon,length
N1,1000085,bridge,C,,23.5307655282208,90.7800797251533,3.9
N1,1000086,link,R,,23.5308049,90.7811104,0.0
N1,1000087,intersection,R,,23.5307493,90.7816104,0.0
N1,1000088,link,R,,23.530666,90.7821938,880.9999999999932
N1,1000089,bridge,C,,23.5308683409424,90.7918075171727,6.5
N1,1100089,link,R,,23.530693799999998,90.7924441,0.0
N1,1000090,intersection,R,,23.530693799999998,90.7924441,0.0
N1,1000091,link,R,,23.530860399999998,90.80022220000001,1000.0
N1,1000092,bridge,A,,23.5318234765,90.8110155135,15.9
N1,1000093,link,R,,23.5332493,90.81947159999999,1000.0
N1,1000094,bridge,A,,23.5329743291,90.8309774761999,12.2
N1,1000095,link,R,,23.529221600000003,90.83652740000001,1000.0
N1,1000096,bridge,C,,23.5229166652,90.8442186132,4.5
N1,1000097,link,R,,23.5174993,90.8513889,2106.000000000002
N1,1000098,intersection,R,,23.512666699999997,90.871416,0.0
N1,100098,link,R,,23.512666699999997,90.871416,0.0
N1,1000099,bridge,C,,23.510087758207,90.8757204035353,28.9
N1,1000100,link,R,,23.508805600000002,90.8778604,2000.0
N1,1000101,bridge,B,,23.5060024341,90.9021745389,5.9
N1,1000102,link,R,,23.506277800000003,90.90638890000001,1000.0
N1,1000103,bridge,B,,23.5056131416,90.9214660218,3.0
N1,1000104,link,R,,23.505527800000003,90.92572159999999,1625.0
N1,1000105,bridge,B,,23.5024077848,90.9432418928,6.0
N1,1000106,link,R,,23.5020278,90.9448886,0.0
N1,1000107,bridge,A,,23.5013551924,90.9473844088999,3.0
N1,1000108,link,R,,23.499527399999998,90.9541667,1457.0000000000077
N1,1000109,bridge,B,,23.495896314,90.9715772516,4.6
N1,1000110,link,R,,23.4942219,90.97655490000001,1000.0
N1,1000111,bridge,A,,23.4932728146,90.9887200416,4.5
N1,1000112,link,R,,23.491138600000003,90.99502740000001,2028.9999999999964
N1,1000113,bridge,C,,23.4868805937254,91.017566692647,23.1
N1,1000114,link,R,,23.484638600000004,91.0229438,2053.9999999999877
N1,1000115,bridge,B,,23.4817873233065,91.0463348850746,4.6
N1,1000116,link,R,,23.4820827,91.0504167,128.99999999999068
N1,1000117,bridge,B,,23.4817498298684,91.0563549686842,4.6
N1,1000118,link,R,,23.4815271,91.0590278,239.99999999999488
N1,1000119,bridge,A,,23.480613086,91.0674097692,1.5
N1,1000120,link,R,,23.4801104,91.0706382,1000.0
N1,1000121,bridge,C,,23.4776722851,91.0847406393,1.0
N1,1000122,link,R,,23.4781938,91.0889997,2000.0
N1,1000123,bridge,B,,23.4781159049382,91.1070332074074,3.0
N1,1000124,link,R,,23.4789438,91.1177216,591.9999999999845
N1,1000125,bridge,A,,23.4794083880733,91.1238920825688,1.4
N1,1000126,link,R,,23.4800827,91.12763819999999,0.0
N1,1000127,bridge,A,,23.479544924,91.129047144,2.9
N1,1000128,link,R,,23.4767216,91.1364441,3537.0000000000064
N1,1000129,bridge,A,,23.4436339598272,91.1493668151188,23.4
N1,1000130,link,R,,23.442527399999996,91.1497774,3237.000000000009
N1,1000131,bridge,B,,23.4212487704918,91.1678943372365,35.9
N1,1000132,link,R,,23.4195271,91.17141600000001,1628.0000000000143
N1,1000133,bridge,C,,23.4119324230158,91.1939029849206,27.35
N1,1000134,link,R,,23.411305600000002,91.19888859999999,3043.999999999997
N1,1000135,bridge,C,,23.3976518197887,91.2234221346859,27.35
N1,1000136,link,R,,23.391527399999998,91.2292493,2000.0
N1,1000137,bridge,A,,23.3713647755,91.2450175414999,30.4
N1,1000138,link,R,,23.3695827,91.24627740000001,2075.0000000000027
N1,1000139,bridge,C,,23.3521636774381,91.2572910746724,22.88
N1,1000140,link,R,,23.3486386,91.2599444,312.9999999999882
N1,1000141,bridge,A,,23.342671472,91.264485636,14.3
N1,1000142,link,R,,23.3390552,91.26722159999998,1000.0
N1,1000143,bridge,A,,23.3301462324,91.2748792824,24.0
N1,1000144,link,R,,23.3246382,91.278666,83.00000000001262
N1,1000145,bridge,A,,23.3180696869138,91.2830867321701,9.2
N1,1000146,link,R,,23.3171382,91.2836941,1000.0
N1,1000147,bridge,B,,23.3083612731261,91.2865787034735,19.2
N1,1000148,link,R,,23.30425,91.288583,0.0
N1,1000149,bridge,B,,23.3034306450331,91.2889770397351,2.6
N1,1000150,link,R,,23.3006111,91.29033299999999,0.0
N1,1000151,bridge,A,,23.2979675271676,91.2910141369942,3.2
N1,1000152,link,R,,23.296083,91.2914997,480.99999999998033
N1,1000153,bridge,A,,23.2897066386454,91.2929584711155,13.4
N1,1000154,link,R,,23.2876663,91.2936386,497.99999999999045
N1,1000155,bridge,B,,23.2821949258397,91.2966655096899,4.6
N1,1000156,link,R,,23.2787216,91.30027779999999,225.99999999998488
N1,1000157,bridge,B,,23.27301895,91.3029661882,6.3
N1,1000158,link,R,,23.268638199999998,91.30497220000001,596.0000000000036
N1,1000159,bridge,B,,23.2618360940594,91.3070217386138,3.0
N1,1000160,link,R,,23.2601111,91.3072778,0.0
N1,1000161,bridge,B,,23.25941665,91.3073611,3.0
N1,1000162,link,R,,23.258722199999998,91.30744440000001,0.0
N1,1000163,bridge,B,,23.2576429774881,91.3076156494075,3.6
N1,1000164,link,R,,23.2511944,91.3086389,730.000000000004
N1,1000165,bridge,B,,23.2443915125925,91.3114032292592,2.5
N1,1000166,link,R,,23.243083,91.3119167,0.0
N1,1000167,bridge,B,,23.2429040619631,91.3119739539877,19.2
N1,1000168,link,R,,23.241694100000004,91.31236109999999,0.0
N1,1000169,bridge,A,,23.2397920309669,91.3125740860465,2.6
N1,1000170,link,R,,23.2344997,91.3131667,334.99999999999375
N1,1000171,bridge,B,,23.2289195919642,91.3134220678571,3.1
N1,1000172,link,R,,23.2275549,91.31352779999999,0.0
N1,1000173,bridge,B,,23.2259184472573,91.3135697177215,2.6
N1,1000174,link,R,,23.225388199999998,91.3135833,0.0
N1,1000175,bridge,A,,23.2220338977777,91.3137005933333,6.0
N1,1000176,link,R,,23.221416,91.3137222,549.9999999999972
N1,1000177,bridge,B,,23.2131955721448,91.3153497403899,14.3
N1,1000178,link,R,,23.2103056,91.31572220000001,281.99999999998226
N1,1000179,bridge,A,,23.2050386287937,91.3163167282749,6.1
N1,1000180,link,R,,23.201,91.31680490000001,228.9999999999992
N1,1000181,bridge,A,,23.1961887953757,91.3176705069364,6.1
N1,1000182,link,R,,23.192110800000002,91.31855490000001,134.9999999999909
N1,1000183,bridge,C,,23.1874350254302,91.3209051317399,6.1
N1,1000184,link,R,,23.1866941,91.3212493,476.99999999998965
N1,1000185,bridge,B,,23.1817958149837,91.3208787514658,9.5
N1,1000186,link,R,,23.177360399999998,91.31980490000001,515.0000000000006
N1,1000187,bridge,B,,23.1726272318681,91.3205774642857,3.1
N1,1000188,link,R,,23.168138199999998,91.3213604,454.00000000002194
N1,1000189,bridge,A,,23.1635138669191,91.3215889464646,9.5
N1,1000190,link,R,,23.157166699999998,91.3224993,208.00000000001262
N1,1000191,bridge,B,,23.1527364949367,91.3243178772152,6.3
N1,1100191,link,R,,23.1496941,91.3254993,0.0
N1,1000192,intersection,R,,23.1496941,91.3254993,0.0
N1,1000193,link,R,,23.148027399999997,91.3264993,99.00000000001796
N1,1000194,bridge,B,,23.1436667679334,91.3266680470308,3.5
N1,1000195,link,R,,23.1433886,91.326666,0.0
N1,1000196,bridge,B,,23.1389893200345,91.3263585348877,6.1
N1,1000197,link,R,,23.138221899999998,91.32630490000001,101.99999999997544
N1,1000198,bridge,B,,23.1332639685968,91.327546416481,3.0
N1,1000199,link,R,,23.1295827,91.3284993,69.99999999999318
N1,1000200,bridge,A,,23.1252363577777,91.3303863688888,6.5
N1,1000201,link,R,,23.123499300000002,91.3311382,254.99999999999545
N1,1000202,bridge,B,,23.1196973774193,91.3328165129032,4.5
N1,1000203,link,R,,23.1193049,91.3329993,27.999999999991587
N1,1000204,bridge,B,,23.1158251554,91.335094485,5.3
N1,1000205,link,R,,23.1113611,91.3378052,74.99999999998863
N1,1000206,bridge,A,,23.1074284451388,91.3400495436111,6.1
N1,1000207,link,R,,23.105111100000002,91.3413608,205.0000000000125
N1,1000208,bridge,B,,23.1017563206521,91.343162998913,3.1
N1,1000209,link,R,,23.1005833,91.34377740000001,0.0
N1,1000210,bridge,B,,23.0973512527272,91.3454956309091,9.5
N1,1000211,link,R,,23.0961941,91.3461108,81.99999999999363
N1,1000212,bridge,A,,23.0930298369186,91.3478308386627,3.1
N1,1000213,link,R,,23.0901108,91.34941629999999,311.9999999999834
N1,1000214,bridge,B,,23.0870753710144,91.3512101492753,9.25
N1,1000215,link,R,,23.0849719,91.35247220000001,0.0
N1,1000216,bridge,A,,23.0819909531309,91.3541811474383,3.5
N1,1000217,link,R,,23.0808049,91.3548611,210.00000000000796
N1,1000218,bridge,B,,23.0779647046997,91.3566005031331,14.2
N1,1000219,link,R,,23.0732493,91.3594167,234.00000000000887
N1,1000220,bridge,B,,23.070198184,91.3603022,6.1
N1,1000221,link,R,,23.0688604,91.36072220000001,629.0000000000191
N1,1000222,intersection,R,,23.061472199999997,91.3616667,0.0
N1,1100222,link,R,,23.061472199999997,91.3616667,0.0
N1,1000223,bridge,B,,23.0607473333333,91.3618624619047,4.0
N1,1000224,link,R,,23.0538611,91.36372220000001,1552.9999999999973
N1,1000225,bridge,A,,23.0379728055555,91.3656784724359,10.8
N1,1000226,link,R,,23.0360274,91.36575,734.9999999999852
N1,1000227,bridge,A,,23.0269801170731,91.3655004839721,1.6
N1,1000228,link,R,,23.026971600000003,91.3655,2001.0000000000048
N1,1000229,bridge,A,,23.0124048410423,91.3779796149837,3.4
N1,1000230,link,R,,23.009555600000002,91.3813604,1407.0000000000107
N1,1000231,bridge,A,,22.999248756,91.3957752,1.5
N1,1000232,link,R,,22.996388600000003,91.3998052,108.00000000000409
N1,1000233,bridge,B,,22.9947280792802,91.4022894900763,22.86
N1,1000234,link,R,,22.990694100000002,91.4072222,4939.999999999998
N1,1000235,bridge,B,,22.9614487369369,91.4429962027027,94.05
N1,1000236,link,R,,22.9611667,91.44338859999999,4055.000000000007
N1,1000237,bridge,A,,22.9486038666666,91.4794993833333,1.5
N1,1000238,link,R,,22.9497497,91.4883608,1287.9999999999825
N1,1000239,bridge,B,,22.9496126090047,91.502066899526,191.5
N1,1000240,link,R,,22.949582999999997,91.50277779999999,4643.000000000001
N1,1000241,bridge,A,,22.9149647061403,91.5262895350877,222.43
N1,1000242,link,R,,22.9138056,91.5268604,0.0
N1,1000243,bridge,A,,22.9097128884012,91.5289285034482,6.1
N1,1000244,link,R,,22.9085833,91.5294993,464.00000000002706
N1,1000245,bridge,A,,22.9042462955223,91.5316297776119,3.0
N1,1000246,link,R,,22.9003333,91.5333608,82.99999999999841
N1,1000247,intersection,R,,22.893999700000002,91.5346941,0.0
N1,1000248,link,R,,22.8929719,91.5350274,104.00000000001342
N1,1000249,bridge,A,,22.8916386,91.5354719,3.0
N1,1000250,link,R,,22.891638600000004,91.5354719,1914.999999999992
N1,1000251,bridge,A,,22.8746986941176,91.5408836647058,4.3
N1,1000252,link,R,,22.874443799999998,91.5409719,162.00000000000614
N1,1000253,bridge,A,,22.872722034892,91.5415958766187,2.0
N1,1000254,link,R,,22.868416,91.5431663,0.0
N1,1000255,bridge,A,,22.8680563702127,91.5432963340425,1.5
N1,1000256,link,R,,22.8661111,91.5439997,576.0000000000218
N1,1000257,bridge,A,,22.8609876872509,91.5451551717131,4.3
N1,1000258,link,R,,22.8595833,91.54547190000001,0.0
N1,1000259,bridge,A,,22.8594847882591,91.5454799987854,2.0
N1,1000260,link,R,,22.8575556,91.54563859999999,0.0
N1,1000261,bridge,A,,22.8560565672727,91.5457188709091,1.5
N1,1000262,link,R,,22.855999999999998,91.5457219,0.0
N1,1000263,bridge,A,,22.8551475327433,91.5458221849557,1.5
N1,1000264,link,R,,22.8550556,91.545833,722.0000000000084
N1,1000265,bridge,A,,22.8486172764705,91.5463706117647,8.5
N1,1000266,link,R,,22.8485274,91.5463886,10.000000000019327
N1,1000267,bridge,A,,22.8453914894736,91.5474689210526,3.0
N1,1000268,link,R,,22.8452219,91.5475274,0.0
N1,1000269,bridge,A,,22.8434551375,91.54814955625,1.5
N1,1000270,link,R,,22.8432497,91.5482219,0.0
N1,1000271,bridge,A,,22.8410943334277,91.5488096951841,3.0
N1,1000272,link,R,,22.8401941,91.5490552,314.0000000000214
N1,1000273,bridge,A,,22.8327467692419,91.5501035014577,3.0
N1,1000274,link,R,,22.8313882,91.55036109999999,0.0
N1,1000275,bridge,A,,22.8309613422018,91.5505028545871,4.5
N1,1000276,link,R,,22.8239438,91.5528333,1127.999999999986
N1,1000277,bridge,B,,22.811563437647,91.5562562129411,9.5
N1,1000278,link,R,,22.8110556,91.5563889,1659.9999999999966
N1,1000279,bridge,A,,22.7941813523326,91.5629612622718,4.5
N1,1000280,link,R,,22.7934163,91.5633333,507.000000000005
N1,1000281,bridge,B,,22.7821968918511,91.5691025661971,23.2
N1,1000282,link,R,,22.7813327,91.5695271,507.0000000000334
N1,1000283,bridge,A,,22.774197092,91.5728737519999,6.0
N1,1000284,link,R,,22.7732771,91.5733604,23.999999999972488
N1,1000285,bridge,A,,22.770251666098,91.5750905211087,9.7
N1,1000286,link,R,,22.7693604,91.5756104,530.9999999999775
N1,1000287,bridge,A,,22.7630626913907,91.5804538821192,4.0
N1,1000288,link,R,,22.7621944,91.5811382,546.999999999997
N1,1000289,bridge,A,,22.7535653245121,91.5886004236585,12.9
N1,1000290,link,R,,22.7526389,91.5893608,180.00000000000682
N1,1000291,bridge,A,,22.7506393495689,91.5908840370689,3.0
N1,1000292,link,R,,22.749638600000004,91.5916386,0.0
N1,1000293,bridge,B,,22.7445136523437,91.5943998915364,8.1
N1,1000294,link,R,,22.7435552,91.5949163,2000.0
N1,1000295,bridge,A,,22.723316755473,91.6024331404452,3.0
N1,1000296,link,R,,22.7221104,91.6030833,460.9999999999843
N1,1000297,bridge,A,,22.7178243865384,91.6057623307692,3.0
N1,1000298,link,R,,22.7165556,91.6065556,290.00000000002046
N1,1000299,bridge,C,,22.7138727382812,91.6082352218749,19.2
N1,1000300,link,R,,22.7124167,91.6090556,1153.9999999999964
N1,1000301,bridge,A,,22.701816503937,91.6149734608923,19.2
N1,1000302,link,R,,22.7002222,91.61577779999999,1003.9999999999907
