scenario_num,Run,truck_id,start_time,end_time,total_waiting_time,distance_travelled
4,0,49SourceSink1002757,10,243,147.96508483027233,66987.14000000001
4,0,211SourceSink1002757,55,297,158.45684458158644,66987.14000000001
4,0,391SourceSink1002757,105,319,131.27392212548568,66987.14000000001
4,0,419SourceSink1002233,115,322,134.36953563855602,59385.829999999994
4,0,383SourceSink1002233,105,337,157.02683401109346,59385.829999999994
4,0,51SourceSink1003073,10,370,242.9709206662423,93672.11000000009
4,0,273SourceSink1001953,75,395,267.0404958280737,41847.99999999999
4,0,1174SourceSink1002165,325,424,49.64985251779964,40235.03
4,0,123SourceSink1003073,30,425,278.9881767017044,93672.11000000009
4,0,805SourceSink1002757,220,427,122.79605145977196,66987.14000000001
4,0,787SourceSink1002757,215,438,139.01256807252497,66987.14000000001
4,0,823SourceSink1002757,225,448,137.30874025408914,66987.14000000001
4,0,195SourceSink1003073,50,463,296.3740066299801,93672.11000000009
4,0,159SourceSink1003073,40,468,311.67523773356737,93672.11000000009
4,0,60SourceSink1002234,15,471,353.5922637098754,83078.44999999998
4,0,1498SourceSink1002165,415,499,34.90788362886973,40235.03
4,0,995SourceSink1002233,275,500,151.72070385430695,59385.829999999994
4,0,615SourceSink1001953,170,502,279.6630506446119,41847.99999999999
4,0,1516SourceSink1002165,420,509,39.823512048461694,40235.03
4,0,79SourceSink1002393,20,514,380.6192838524886,90472.54999999994
4,0,564SourceSink1002234,155,534,275.3234110953567,83078.44999999998
4,0,223SourceSink1002393,60,539,366.5112732254724,90472.54999999994
4,0,1085SourceSink1002233,300,549,174.04165301295393,59385.829999999994
4,0,439SourceSink1002393,120,563,330.6994457035444,90472.54999999994
4,0,705SourceSink1001953,195,570,323.3772692322146,41847.99999999999
4,0,699SourceSink1003073,190,576,270.76192518378343,93672.11000000009
4,0,798SourceSink1002234,220,578,254.42526891280306,83078.44999999998
4,0,1363SourceSink1002757,375,578,118.77463275275716,66987.14000000001
4,0,248SourceSink1002774,65,583,382.07905998114813,107883.43000000001
4,0,717SourceSink1003073,195,584,273.13853495085135,93672.11000000009
4,0,708SourceSink1002234,195,621,325.1132476789246,83078.44999999998
4,0,825SourceSink1003073,225,626,284.47024388296404,93672.11000000009
4,0,933SourceSink1003073,255,629,256.95688750286183,93672.11000000009
4,0,1507SourceSink1002757,415,629,129.1230946696857,66987.14000000001
4,0,1589SourceSink1002233,440,637,124.79424785211631,59385.829999999994
4,0,1579SourceSink1002757,435,648,129.06655177696595,66987.14000000001
4,0,170SourceSink1002488,45,649,453.5259155466264,122204.34999999998
4,0,1065SourceSink1001953,295,649,299.18805528523376,41847.99999999999
4,0,691SourceSink1002393,190,681,379.85997838819026,90472.54999999994
4,0,1661SourceSink1002233,460,686,152.2384039113474,59385.829999999994
4,0,2146SourceSink1002165,595,697,52.27816086948294,40235.03
4,0,1795SourceSink1002757,495,714,135.37636435262172,66987.14000000001
4,0,2039SourceSink1002233,565,766,127.58198928687563,59385.829999999994
4,0,1040SourceSink1002774,285,775,353.4166337982867,107883.43000000001
4,0,1338SourceSink1002234,370,783,310.20449475324335,83078.44999999998
4,0,2011SourceSink1002757,555,784,144.8257239594157,66987.14000000001
4,0,297SourceSink1002510,80,788,516.9179879624746,155034.85000000033
4,0,2029SourceSink1002757,560,789,145.38850426299172,66987.14000000001
4,0,1238SourceSink1002774,340,794,319.1036336532868,107883.43000000001
4,0,279SourceSink1002510,75,801,536.6270338856846,155034.85000000033
4,0,2155SourceSink1002757,595,809,130.51429639035996,66987.14000000001
4,0,29SourceSink1002669,5,833,588.6874284782559,194298.94000000067
4,0,2263SourceSink1002757,625,841,131.47716668946597,66987.14000000001
4,0,1220SourceSink1002774,335,848,377.4781093048551,107883.43000000001
4,0,153SourceSink1002510,40,850,616.9174215713094,155034.85000000033
4,0,2758SourceSink1002165,765,858,42.84228217255329,40235.03
4,0,1292SourceSink1002774,355,861,370.1698658912916,107883.43000000001
4,0,1608SourceSink1002234,445,864,316.8449088522175,83078.44999999998
4,0,137SourceSink1002669,35,888,611.8403219342363,194298.94000000067
4,0,370SourceSink1002663,100,889,559.4546773152584,185075.8500000004
4,0,1842SourceSink1002234,510,891,278.9429618129807,83078.44999999998
4,0,495SourceSink1002510,135,892,567.2546193582155,155034.85000000033
4,0,287SourceSink1003230,75,914,692.671537985106,119571.95000000035
4,0,1995SourceSink1003073,550,920,253.8577177341116,93672.11000000009
4,0,173SourceSink1002669,45,921,637.2554958581168,194298.94000000067
4,0,1232SourceSink1002488,340,921,429.2479984971765,122204.34999999998
4,0,2497SourceSink1002757,690,922,148.15279458266423,66987.14000000001
4,0,3028SourceSink1002165,840,928,38.13093684137162,40235.03
4,0,164SourceSink1001952,45,932,714.739029088234,138091.15000000023
4,0,124SourceSink1003181,30,933,759.9675766424297,117199.9000000003
4,0,1742SourceSink1002774,480,948,331.5877432392721,107883.43000000001
4,0,2605SourceSink1002757,720,954,150.55449242609163,66987.14000000001
4,0,605SourceSink1002669,165,961,554.9245708798126,194298.94000000067
4,0,549SourceSink1002510,150,964,623.5071329056542,155034.85000000033
4,0,2091SourceSink1001953,580,966,333.4701157065335,41847.99999999999
4,0,2677SourceSink1002757,740,966,143.16656249611881,66987.14000000001
4,0,2325SourceSink1001953,645,970,273.6358118971447,41847.99999999999
4,0,2103SourceSink1003073,580,971,274.87010004016383,93672.11000000009
4,0,496SourceSink1002663,135,994,631.8976455559665,185075.8500000004
4,0,560SourceSink1001952,155,297,83.14611675648679,47399.99999999987
4,0,722SourceSink1001952,200,302,41.82573926936154,47399.99999999987
4,0,812SourceSink1001952,225,339,55.16190941258433,47399.99999999987
4,0,646SourceSink1003181,175,431,172.23860925885836,65936.55
4,0,628SourceSink1003181,170,439,184.9283042886679,65936.55
4,0,1118SourceSink1001952,310,450,79.92322731559251,47399.99999999987
4,0,718SourceSink1003181,195,473,194.0128163080256,65936.55
4,0,1370SourceSink1001952,380,515,74.84379963022403,47399.99999999987
4,0,1640SourceSink1001952,455,568,53.73675867892874,47399.99999999987
4,0,1604SourceSink1001952,445,588,82.61377621958553,47399.99999999987
4,0,1528SourceSink1003181,420,680,175.92289698923395,65936.55
4,0,85SourceSink1002757,20,681,516.5183048699612,117779.35000000053
4,0,2032SourceSink1003181,560,752,108.7873469994951,65936.55
4,0,1924SourceSink1003181,530,772,157.34681432022907,65936.55
4,0,157SourceSink1002757,40,790,603.4253239736505,117779.35000000053
4,0,2432SourceSink1001952,675,796,62.4457568561773,47399.99999999987
4,0,1960SourceSink1003181,540,813,189.98924077346828,65936.55
4,0,2504SourceSink1001952,695,833,78.23282452985916,47399.99999999987
4,0,139SourceSink1002757,35,834,652.6181183609056,117779.35000000053
