road,id,model_type,name,lat,lon,length,condition
N1,100088,bridge,LRP049a,23.5318234765,90.8110155135,15.9,A
N1,100089,link,LRP050,23.5332493,90.81947159999999,1000.0,R
N1,100090,bridge,LRP051a,23.5329743291,90.8309774761999,12.2,A
N1,100091,link,LRP052,23.529221600000003,90.83652740000001,1000.0,R
N1,100092,bridge,LRP053a,23.5229166652,90.8442186132,4.5,C
N1,100093,link,LRP054,23.5174993,90.8513889,2207.999999999998,R
N1,100094,bridge,LRP056a,23.510087758207,90.8757204035353,28.9,C
N1,100095,link,LRP057,23.508805600000002,90.8778604,2000.0,R
N1,100096,bridge,LRP059a,23.5060024341,90.9021745389,5.9,B
N1,100097,link,LRP060,23.506277800000003,90.90638890000001,1000.0,R
N1,100098,bridge,LRP061a,23.5056131416,90.9214660218,3.0,B
N1,100099,link,LRP062,23.505527800000003,90.92572159999999,1625.0,R
N1,100100,bridge,LRP064a,23.5024077848,90.9432418928,6.0,B
N1,100101,link,LRP064,23.5020278,90.9448886,0.0,R
N1,100102,bridge,LRP064c,23.5013551924,90.9473844088999,3.0,A
N1,100103,link,LRP065,23.499527399999998,90.9541667,1457.0000000000077,R
N1,100104,bridge,LRP067a,23.495896314,90.9715772516,4.6,B
N1,100105,link,LRP068,23.4942219,90.97655490000001,1000.0,R
N1,100106,bridge,LRP068a,23.4932728146,90.9887200416,4.5,A
N1,100107,link,LRP070,23.491138600000003,90.99502740000001,2028.9999999999964,R
N1,100108,bridge,LRP072a,23.4868805937254,91.017566692647,23.1,C
N1,100109,link,LRP074,23.484638600000004,91.0229438,2053.9999999999877,R
N1,100110,bridge,LRP075a,23.4817873233065,91.0463348850746,4.6,B
N1,100111,link,LRP076a,23.4820827,91.0504167,128.99999999999068,R
N1,100112,bridge,LRP076a,23.4817498298684,91.0563549686842,4.6,B
N1,100113,link,LRP077a,23.4815271,91.0590278,239.99999999999488,R
N1,100114,bridge,LRP077a,23.480613086,91.0674097692,1.5,A
N1,100115,link,LRP079,23.4801104,91.0706382,1000.0,R
N1,100116,bridge,LRP079a,23.4776722851,91.0847406393,1.0,C
N1,100117,link,LRP081,23.4781938,91.0889997,2000.0,R
N1,100118,bridge,LRP081a,23.4781159049382,91.1070332074074,3.0,B
N1,100119,link,LRP083a,23.4789438,91.1177216,591.9999999999845,R
N1,100120,bridge,LRP083a,23.4794083880733,91.1238920825688,1.4,A
N1,100121,link,LRP085,23.4800827,91.12763819999999,0.0,R
N1,100122,bridge,LRP083b,23.479544924,91.129047144,2.9,A
N1,100123,link,LRP086,23.4767216,91.1364441,3537.0000000000064,R
N1,100124,bridge,LRP088a,23.4436339598272,91.1493668151188,23.4,A
N1,100125,link,LRP090,23.442527399999996,91.1497774,3237.000000000009,R
N1,100126,bridge,LRP092a,23.4212487704918,91.1678943372365,35.9,B
N1,100127,link,LRP094,23.4195271,91.17141600000001,1628.0000000000143,R
N1,100128,bridge,LRP094a,23.4119324230158,91.1939029849206,27.35,C
N1,100129,link,LRP097,23.411305600000002,91.19888859999999,3043.999999999997,R
N1,100130,bridge,LRP098a,23.3976518197887,91.2234221346859,27.35,C
N1,100131,link,LRP101,23.391527399999998,91.2292493,2000.0,R
N1,100132,bridge,LRP101a,23.3713647755,91.2450175414999,30.4,A
N1,100133,link,LRP104,23.3695827,91.24627740000001,2075.0000000000027,R
N1,100134,bridge,LRP104a,23.3521636774381,91.2572910746724,22.88,C
N1,100135,link,LRP106a,23.3486386,91.2599444,312.9999999999882,R
N1,100136,bridge,LRP105a,23.342671472,91.264485636,14.3,A
N1,100137,link,LRP108,23.3390552,91.26722159999998,1000.0,R
N1,100138,bridge,LRP107a,23.3301462324,91.2748792824,24.0,A
