,road,km,LRPName,condition,lat,lon
115,N1,188.35,LRP190a,A,22.7221111111111,91.603
116,N1,189.058,LRP191a,A,22.7165277777777,91.6064444444444
117,N1,189.13,LRP191b,A,22.7159999999999,91.6069166666666
118,N1,191.107,LRP193a,A,22.7001944444444,91.6154166666666
119,N1,192.408,LRP194a,A,22.6895555555555,91.6208055555555
120,N1,192.95,LRP195a,A,22.6850833333333,91.6228055555555
121,N1,194.149,LRP196a,A,22.6751666666666,91.6274166666666
122,N1,194.998,LRP197a,A,22.6679166666666,91.6300555555555
123,N1,195.501,LRP197b,A,22.6637222222222,91.6320833333333
124,N1,196.038,LRP198a,A,22.6597777777777,91.6349444444444
125,N1,196.925,LRP199a,A,22.6527777777777,91.6390555555555
126,N1,197.39,LRP199b,A,22.6489722222222,91.641
127,N1,197.846,LRP199c,A,22.6453333333333,91.6429722222222
128,N1,199.279,LRP201a,A,22.6338888888888,91.6493611111111
129,N1,199.502,LRP201b,A,22.6320277777777,91.6502777777777
130,N1,200.277,LRP202a,A,22.6259166666666,91.654
131,N1,200.918,LRP203a,A,22.6208611111111,91.6569722222222
132,N1,201.52,LRP203b,A,22.6161944444444,91.6599722222222
133,N1,201.999,LRP204a,A,22.6123611111111,91.6621666666666
135,N1,202.435,LRP205a,A,22.6088333333333,91.6640555555555
136,N1,203.457,LRP206a,A,22.6009444444444,91.6693055555555
137,N1,204.765,LRP207a,A,22.5905555555555,91.6754166666666
138,N1,206.3,LRP208d,A,22.5779722222222,91.6810833333333
139,N1,206.866,LRP209a,A,22.5731944444444,91.6830555555555
140,N1,207.64,LRP210a,A,22.5667777777777,91.6851388888888
141,N1,207.913,LRP210b,A,22.5640833333333,91.6858611111111
142,N1,208.1,LRP210d,A,22.5624722222222,91.6863055555555
143,N1,209.024,LRP211a,A,22.5540555555555,91.6884444444444
144,N1,210.476,LRP213a,A,22.5431111111111,91.69475
145,N1,210.776,LRP213b,A,22.5399166666666,91.6960555555555
146,N1,211.433,LRP214a,A,22.5347777777777,91.6982777777777
147,N1,212.483,LRP215a,A,22.5261388888888,91.7024722222222
148,N1,214.807,LRP217a,A,22.5165556,91.7065833
149,N1,215.467,LRP218a,A,22.5030833333333,91.7132222222222
150,N1,216.196,LRP218b,A,22.4961388888888,91.7159444444444
151,N1,217.942,LRP220a,A,22.4819444444444,91.7201944444444
152,N1,219.427,LRP221a,A,22.4693888888888,91.7250555555555
153,N1,222.357,LRP224a,A,22.4450833333333,91.7360277777777
154,N1,223.743,LRP226a,A,22.4333055555555,91.7403055555555
155,N1,224.053,LRP226b,A,22.4307222222222,91.7414722222222
156,N1,228.029,LRP230a,A,22.3978333333333,91.7576666666666
157,N1,228.797,LRP231a,A,22.3920833333333,91.7592222222222
158,N1,229.203,LRP231b,A,22.3887777777777,91.7605833333333
159,N1,230.13,LRP232a,A,22.3812777777777,91.7653888888888
160,N1,230.921,LRP233a,A,22.3764166666666,91.7704166666666
