,road,km,LRPName,condition,lat,lon
466,N2,12.18,LRP012f,A,23.7891944444444,90.5742222222222
467,N2,15.677,LRP016a,A,23.8140555555555,90.5946111111111
470,N2,20.514,LRP021a,A,23.8469166666666,90.6272222222222
471,N2,21.168,LRP021b,A,23.8496944444444,90.6315555555555
473,N2,24.2,LRP024b,A,23.8548888888888,90.6586944444444
474,N2,24.708,LRP025a,A,23.8544444444444,90.6634722222222
475,N2,25.107,LRP025b,A,23.8539166666666,90.6673055555555
478,N2,30.514,LRP031c,A,23.8943052,90.6717771
480,N2,35.205,LRP035b,A,23.9130277777777,90.6893055555555
484,N2,37.61,LRP038a,A,23.9390552,90.7100278
485,N2,38.015,LRP038c,A,23.9427222222222,90.7099166666666
486,N2,38.348,LRP039a,A,23.9391666666666,90.71
487,N2,39.241,LRP039c,A,23.9528055555555,90.7148333333333
488,N2,39.589,LRP040a,A,23.9555277777777,90.7162777777777
489,N2,40.114,LRP040b,A,23.9598333333333,90.7186388888888
490,N2,40.819,LRP041b,A,23.9658055555555,90.7218055555555
491,N2,41.375,LRP042a,A,23.97,90.7244722222222
492,N2,42.51,LRP043a,A,23.9778611111111,90.7314166666666
493,N2,42.998,LRP043d,A,23.9803888888888,90.7348055555555
494,N2,43.523,LRP044a,A,23.9818055555555,90.7395555555555
495,N2,44.274,LRP044c,A,23.9854722222222,90.7458611111111
496,N2,45.151,LRP045b,A,23.9216111111111,90.6967777777777
497,N2,45.931,LRP046a,A,23.9936941,90.7590833
498,N2,46.33,LRP046c,A,23.9956111111111,90.7626111111111
499,N2,46.511,LRP047a,A,23.9936666666666,90.7590277777777
500,N2,46.765,LRP047c,A,23.9974722222222,90.7661111111111
501,N2,47.384,LRP048a,A,24.00025,90.7714722222222
502,N2,48.264,LRP048b,A,23.9963888888888,90.7640555555555
504,N2,49.755,LRP050a,A,24.0089166666666,90.7925277777777
506,N2,51.976,LRP052a,A,24.0204444444444,90.8101388888888
507,N2,53.089,LRP053a,A,24.0262777777777,90.81925
508,N2,53.591,LRP054a,A,24.0288055555555,90.8230833333333
509,N2,54.354,LRP054b,A,24.0326666666666,90.8295555555555
510,N2,55.117,LRP055b,A,24.0365277777777,90.8356944444444
511,N2,55.547,LRP056a,A,24.0385833333333,90.8391388888888
512,N2,55.967,LRP056b,A,24.040083,90.8429163
513,N2,56.559,LRP057a,A,24.0415,90.8485833333333
514,N2,56.722,LRP057b,A,24.0418611111111,90.8502499999999
515,N2,58.369,LRP058c,A,24.0484166666666,90.8641944444444
516,N2,58.574,LRP059a,A,24.0496111111111,90.8656111111111
517,N2,59.51,LRP060a,A,24.0514722,90.874166
519,N2,59.982,LRP060c,A,24.0514722222222,90.8788055555555
520,N2,60.726,LRP061a,A,24.0518333333333,90.8861388888889
521,N2,62.036,LRP062a,A,24.0529167,90.8988608
523,N2,62.515,LRP063a,A,24.0533056,90.9035556
524,N2,63.836,LRP064a,A,24.0543333333333,90.9166111111111
525,N2,64.333,LRP064b,A,24.0396388888888,90.86925
527,N2,66.197,LRP066a,A,24.0560833333333,90.9396111111111
528,N2,66.846,LRP067a,A,24.0565833,90.9459163
530,N2,67.151,LRP067c,A,24.0568055555555,90.9489444444444
531,N2,69.212,LRP069c,A,24.0568333333333,90.9690277777777
532,N2,69.285,LRP069e,A,24.05675,90.9698055555555
533,N2,69.416,LRP070a,A,24.0566944444444,90.9708888888889
534,N2,69.855,LRP070c,A,24.05625,90.9752222222222
535,N2,71.603,LRP072a,A,24.0508888888888,90.9900833333333
536,N2,71.834,LRP072c,A,24.0487508700361,90.9917788393501
538,N2,73.429,LRP073b,A,24.0388611111111,91.0024722222222
539,N2,73.439,LRP073c,A,24.0390277777777,91.0023611111111
540,N2,73.982,LRP073g,A,24.0373888888888,91.0070833333333
541,N2,74.642,LRP074a,A,24.0358888888888,91.0133055555555
542,N2,76.203,LRP076a,A,24.0387777777777,91.0283333333333
543,N2,76.969,LRP076b,A,24.0401944444444,91.0356666666666
545,N2,78.332,LRP078a,A,24.0425277777777,91.04875
546,N2,79.33,LRP079a,A,24.04375,91.05825
547,N2,79.928,LRP079b,A,24.0443888888888,91.0643055555555
548,N2,79.95,LRP079d,A,24.0447777777777,91.0675555555555
549,N2,81.004,LRP081a,A,24.0456111111111,91.0745
550,N2,81.413,LRP081b,A,24.0461388888888,91.0784999999999
552,N2,84.419,LRP084a,A,24.0496388888888,91.1076388888888
553,N2,86.364,LRP086a,A,24.0582777777777,91.1186388888888
554,N2,87.365,LRP087a,A,24.0569722222222,91.1283611111111
556,N2,89.1,LRP089a,A,24.0558889,91.1378608
558,N2,91.246,LRP091b,A,24.0524166666666,91.1660277777777
559,N2,91.756,LRP092a,A,24.0514444444444,91.1708611111111
560,N2,91.768,LRP092b,A,24.0514166666666,91.1709166666666
561,N2,93.299,LRP093c,A,24.0444163,91.1772493
562,N2,95.285,LRP095a,A,24.0430833333333,91.1996388888889
563,N2,95.774,LRP096a,A,24.0430277777777,91.2045277777777
564,N2,96.853,LRP097a,A,24.0420555555555,91.21375
566,N2,97.696,LRP098b,A,24.0444722222222,91.2217222222222
567,N2,100.04,LRP100a,A,24.0472219,91.2358608
570,N2,102.341,LRP102a,A,24.0685,91.2560277777777
571,N2,103.374,LRP103c,A,24.0750833333333,91.2631944444444
572,N2,104.217,LRP104a,A,24.0804722222222,91.26875
574,N2,105.983,LRP106a,A,24.0851111111111,91.2836666666666
575,N2,106.396,LRP106b,A,24.0869444444444,91.2870555555555
576,N2,107.981,LRP108a,A,24.0994444444444,91.29375
580,N2,113.087,LRP113a,A,24.1268049,91.3189438
581,N2,113.846,LRP114a,A,24.1356941,91.3234993
583,N2,114.909,LRP115a,A,24.1416663,91.326916
585,N2,116.018,LRP117a,A,24.1481111111111,91.3465833333333
586,N2,116.219,LRP117b,A,24.1493888888888,91.3466666666666
587,N2,117.086,LRP118a,A,24.1573611111111,91.3489166666666
588,N2,117.284,LRP118b,A,24.1592222222222,91.3489999999999
590,N2,117.771,LRP118e,A,24.1635277777777,91.3491944444444
591,N2,117.99,LRP118g,A,24.1656666666666,91.3491388888888
593,N2,118.798,LRP119c,A,24.1728611111111,91.3490833333333
594,N2,119.035,LRP120a,A,24.1749166666666,91.3490833333333
596,N2,120.199,LRP121a,A,24.1851388888888,91.3506666666666
597,N2,120.851,LRP121c,A,24.1911944444444,91.3504444444444
599,N2,121.686,LRP122b,A,24.1985555555555,91.3510833333333
601,N2,122.326,LRP123c,A,24.2041944444444,91.3519999999999
602,N2,122.788,LRP123d,A,24.2079444444444,91.3539722222222
603,N2,122.934,LRP123e,A,24.2089444444444,91.3539166666666
604,N2,123.191,LRP124a,A,24.2078056,91.3539722
606,N2,123.654,LRP124c,A,24.2146666666666,91.3590833333333
607,N2,124.304,LRP125a,A,24.2185833333333,91.3627777777777
608,N2,124.46,LRP125b,A,24.2197777777777,91.3636944444444
609,N2,124.638,LRP125c,A,24.2211944444444,91.3644166666666
610,N2,124.856,LRP125d,A,24.2231388888888,91.3648055555555
611,N2,125.141,LRP126a,A,24.2256388888888,91.3655833333333
612,N2,125.593,LRP126b,A,24.2295555555555,91.3665277777777
613,N2,125.657,LRP126c,A,24.2298333333333,91.3666944444444
614,N2,125.78,LRP126d,A,24.23125,91.3670833333333
616,N2,126.317,LRP127b,A,24.2359722222222,91.3681944444444
617,N2,126.772,LRP127c,A,24.2398888888888,91.369
618,N2,127.076,LRP128a,A,24.2425,91.3697222222222
619,N2,127.691,LRP128b,A,24.2476666666666,91.3713888888888
620,N2,128.04,LRP129a,A,24.2505,91.3726944444444
621,N2,128.37,LRP129b,A,24.2532222222222,91.3742499999999
622,N2,128.753,LRP129c,A,24.2559722222222,91.3764444444444
623,N2,129.103,LRP130a,A,24.2586111111111,91.3781666666666
624,N2,129.405,LRP130b,A,24.2610277777777,91.3795555555555
625,N2,129.546,LRP130c,A,24.2620555555555,91.3800555555555
627,N2,131.468,LRP132a,A,24.271,91.3923611111111
628,N2,131.547,LRP132b,A,24.2714444444444,91.3933611111111
629,N2,131.767,LRP132c,A,24.2723055555555,91.3948611111111
630,N2,132.792,LRP133a,A,24.2761194444444,91.4038916666666
633,N2,133.439,LRP134b,A,24.2792499999999,91.4091666666666
634,N2,133.659,LRP134c,A,24.2804166666666,91.41125
635,N2,134.422,LRP135a,A,24.2820277777777,91.4182777777777
636,N2,134.957,LRP135b,A,24.2819166666666,91.4236666666666
638,N2,137.262,LRP138a,A,24.2759166666666,91.4445277777777
639,N2,137.784,LRP138b,A,24.2723611111111,91.4479166666666
640,N2,138.267,LRP139a,A,24.2690555555555,91.4510833333333
641,N2,138.769,LRP139b,A,24.2663888888888,91.4547222222222
642,N2,139.271,LRP140a,A,24.2665555555555,91.4596666666666
643,N2,139.773,LRP140c,A,24.2668611111111,91.4646666666666
644,N2,140.402,LRP141a,A,24.2671111111111,91.4708055555555
645,N2,140.804,LRP141b,A,24.2671944444444,91.4745833333333
646,N2,141.382,LRP142c,A,24.2701111111111,91.4785
647,N2,142.912,LRP143c,A,24.2788063459787,91.4859254584218
649,N2,145.077,LRP146a,A,24.2906666666666,91.5056666666666
650,N2,146.094,LRP147a,A,24.2979166666666,91.5112222222222
651,N2,146.376,LRP147b,A,24.3004166666666,91.512
652,N2,146.673,LRP147d,A,24.30275,91.5133055555555
654,N2,147.428,LRP148b,A,24.3076111111111,91.5183055555555
657,N2,149.509,LRP150a,A,24.3183604,91.5276382
659,N2,150.057,LRP151a,A,24.3269999999999,91.5323611111111
660,N2,150.812,LRP151b,A,24.1669444444444,91.5335555555555
661,N2,151.154,LRP152a,A,24.3368611111111,91.53375
662,N2,151.287,LRP152b,A,24.33775,91.5334722222222
663,N2,151.559,LRP152c,A,24.3403611111111,91.5343611111111
664,N2,151.86,LRP152d,A,24.3429166666666,91.5348611111111
665,N2,152.198,LRP153a,A,24.3458611111111,91.5351388888888
666,N2,152.501,LRP153b,A,24.3486111111111,91.5358055555555
667,N2,153.38,LRP154c,A,24.3551388888888,91.53975
668,N2,154.294,LRP155a,A,24.3630555555555,91.5422777777777
669,N2,154.93,LRP155b,A,24.3658315268722,91.5434295729075
671,N2,155.528,LRP156a,A,24.3732222222222,91.5471666666666
672,N2,156.065,LRP157a,A,24.3780277777777,91.5495
673,N2,156.615,LRP157b,A,24.382,91.5515277777777
674,N2,157.701,LRP158a,A,24.3901111111111,91.5571111111111
676,N2,158.437,LRP159b,A,24.3958333333333,91.5608888888888
677,N2,158.639,LRP159c,A,24.3975,91.5620833333333
678,N2,158.959,LRP159d,A,24.3998611111111,91.5636388888888
679,N2,159.377,LRP160a,A,24.4034722222222,91.5645
680,N2,159.669,LRP160b,A,24.4034167,91.5644444
682,N2,160.123,LRP161a,A,24.4100277777777,91.5650833333333
683,N2,160.867,LRP161b,A,24.4168611111111,91.5661666666666
684,N2,160.982,LRP161c,A,24.41775,91.5665555555555
685,N2,161.178,LRP162a,A,24.4194722222222,91.5670555555555
686,N2,161.333,LRP162c,A,24.42075,91.5673333333333
687,N2,161.492,LRP162d,A,24.4221111111111,91.5676388888888
688,N2,161.748,LRP162e,A,24.4242638888888,91.5680555555555
689,N2,161.948,LRP162f,A,24.4234977390625,91.5678518695312
690,N2,162.123,LRP163a,A,24.4275277777777,91.5683611111111
691,N2,162.266,LRP163b,A,24.4290277777777,91.5679166666666
692,N2,162.479,LRP163c,A,24.4308888888888,91.5683333333333
693,N2,162.825,LRP163d,A,24.4339444444444,91.5686666666666
694,N2,163.37,LRP164a,A,24.4388333333333,91.5691944444444
695,N2,163.415,LRP164b,A,24.4396388888888,91.56925
697,N2,163.759,LRP164d,A,24.44225,91.5698055555555
698,N2,164.225,LRP165c,A,24.4461944444444,91.5709722222222
699,N2,164.39,LRP165d,A,24.4477222222222,91.5713611111111
702,N2,165.679,LRP166d,A,24.4591666666666,91.5726388888888
703,N2,165.837,LRP166e,A,24.4606666666666,91.5728611111111
705,N2,166.28,LRP167b,A,24.4644166666666,91.5735
706,N2,166.829,LRP167c,A,24.4693055555555,91.5736944444444
707,N2,167.266,LRP168a,A,24.4731944444444,91.5743333333333
708,N2,167.503,LRP168c,A,24.4755277777777,91.5753888888888
710,N2,168.311,LRP169b,A,24.4821388888888,91.5770833333333
711,N2,168.546,LRP169c,A,24.4845,91.57775
712,N2,168.664,LRP169d,A,24.4854166666666,91.5779444444444
713,N2,168.787,LRP169e,A,24.4864444444444,91.5782777777777
714,N2,168.935,LRP169f,A,24.4870277777777,91.5786944444444
715,N2,169.015,LRP170a,A,24.4878611111111,91.5787222222222
716,N2,169.132,LRP170b,A,24.4892777777777,91.57925
717,N2,169.381,LRP170c,A,24.4913055555555,91.5800833333333
718,N2,169.566,LRP170e,A,24.4928611111111,91.5804166666666
719,N2,169.623,LRP170f,A,24.4934444444444,91.5805555555555
720,N2,169.686,LRP170g,A,24.4940277777777,91.5806944444444
721,N2,169.762,LRP170h,A,24.4945277777777,91.5809166666666
722,N2,169.81,LRP170i,A,24.4951944444444,91.5809444444444
723,N2,169.935,LRP170j,A,24.4963055555555,91.5809444444444
727,N2,170.282,LRP171d,A,24.4986111111111,91.5830277777777
728,N2,170.397,LRP171e,A,24.49975,91.5834166666666
729,N2,170.68,LRP171f,A,24.5021944444444,91.5840555555555
732,N2,171.278,LRP172c,A,24.5063888888888,91.5851666666666
733,N2,171.414,LRP172d,A,24.5086944444444,91.5852222222222
741,N2,174.574,LRP175c,A,24.5333333333333,91.59825
742,N2,174.753,LRP175d,A,24.5347222222222,91.5993055555555
743,N2,174.889,LRP175e,A,24.5356111111111,91.6001388888888
744,N2,174.989,LRP175f,A,24.5363333333333,91.6007777777777
746,N2,175.347,LRP176b,A,24.5386666666666,91.6031111111111
747,N2,175.511,LRP176c,A,24.54,91.6038333333333
748,N2,175.724,LRP176d,A,24.5416666666666,91.6045833333333
749,N2,175.858,LRP176e,A,24.543,91.6046944444444
750,N2,176.024,LRP177a,A,24.5443611111111,91.6051111111111
751,N2,176.411,LRP177b,A,24.5477774,91.6054722
752,N2,176.818,LRP177d,A,24.5483984198555,91.6055338144404
754,N2,177.43,LRP178a,A,24.5566944444444,91.6040555555555
755,N2,177.689,LRP178b,A,24.5587777777777,91.6034722222222
756,N2,178.144,LRP179a,A,24.5628611111111,91.60275
757,N2,178.526,LRP179b,A,24.5661667,91.6028333
759,N2,179.044,LRP180a,A,24.5708055555555,91.6029444444444
760,N2,179.631,LRP180c,A,24.5756666666666,91.6009166666666
763,N2,180.527,LRP181c,A,24.5826388888888,91.5990555555555
764,N2,180.762,LRP181d,A,24.5848052,91.5996663
766,N2,181.082,LRP182a,A,24.5874444444444,91.6006388888888
767,N2,181.333,LRP182b,A,24.5896388888888,91.6014166666666
768,N2,181.705,LRP182d,A,24.5928611111111,91.6024444444444
769,N2,182.073,LRP183a,A,24.59525,91.6048888888888
770,N2,182.48,LRP183c,A,24.5957777777777,91.6086388888888
771,N2,182.768,LRP183d,A,24.5961111111111,91.6115277777777
773,N2,183.883,LRP184c,A,24.6039166666666,91.6176666666666
776,N2,185.178,LRP186b,A,24.6111666666666,91.6277499999999
777,N2,185.396,LRP186c,A,24.6123055555555,91.6294444444444
778,N2,185.981,LRP186d,A,24.6133333333333,91.6348888888889
779,N2,186.959,LRP187b,A,24.6128611111111,91.64425
781,N2,187.715,LRP188a,A,24.6142777777777,91.6513333333333
782,N2,188.64,LRP189a,A,24.6169438,91.66
786,N2,194.173,LRP194b,A,24.6432219,91.6919997
795,N2,198.883,LRP199d,A,24.6828888888888,91.7238611111111
796,N2,199.288,LRP200a,A,24.6864722222222,91.7243611111111
798,N2,199.555,LRP200c,A,24.689,91.7247222222222
804,N2,205.618,LRP206b,A,24.7284444444444,91.7615277777777
806,N2,206.778,LRP207b,A,24.7351111111111,91.7702222222222
810,N2,210.696,LRP211b,A,24.7661111111111,91.7833611111111
811,N2,210.966,LRP211c,A,24.7686111111111,91.7828611111111
815,N2,213.668,LRP214b,A,24.7914722222222,91.7891666666666
816,N2,215.225,LRP216a,A,24.8053888888888,91.7906944444444
817,N2,215.486,LRP216b,A,24.8076111111111,91.7913888888888
819,N2,218.661,LRP219a,A,24.8266944444444,91.8128888888888
820,N2,220.476,LRP221b,A,24.8403333333333,91.8218055555555
822,N2,223.512,LRP224b,A,24.8591944444444,91.8413333333333
823,N2,224.112,LRP225a,A,24.8635278,91.8519444
824,N2,224.705,LRP225c,A,24.8634444444444,91.8519444444444
825,N2,225.715,LRP226c,A,24.8681388888888,91.86025
826,N2,225.86,LRP226d,A,24.8685,91.8618888888888
827,N2,227.581,LRP228b,A,24.8772777777777,91.8737499999999
829,N2,228.006,LRP229a,A,24.8786388888888,91.8772499999999
831,N2,229.208,LRP230c,A,24.8884444444444,91.8800833333333
832,N2,229.791,LRP230e,A,24.8928333333333,91.8783611111111
835,N2,230.621,LRP231c,A,24.8952777777777,91.8848333333333
836,N2,230.925,LRP231d,A,24.8951944444444,91.8878055555555
839,N2,234.469,LRP235a,A,24.90325,91.9195
840,N2,235.123,LRP236a,A,24.9066111111111,91.9245
841,N2,235.778,LRP236c,A,24.90975,91.9301388888888
842,N2,236.582,LRP237a,A,24.9132778,91.9366108
844,N2,237.701,LRP238c,A,24.9156944444444,91.9472777777777
845,N2,237.913,LRP239a,A,24.9161944444444,91.94925
846,N2,238.927,LRP240a,A,24.9196944444444,91.9585555555555
848,N2,240.801,LRP241c,A,24.9308888888888,91.9725
849,N2,241.568,LRP242a,A,24.9343888888888,91.9790277777777
850,N2,242.155,LRP243a,A,24.9368333333333,91.9839166666666
851,N2,242.857,LRP243b,A,24.9389166666666,91.9903333333333
854,N2,245.766,LRP246c,A,24.9565,92.0109722222222
856,N2,247.466,LRP248a,A,24.9644166666666,92.0240277777777
857,N2,248.788,LRP249a,A,24.9727777777777,92.0329166666666
862,N2,257.959,LRP258a,A,25.0372777777777,92.0834722222222
864,N2,260.511,LRP261a,A,25.0530555555555,92.1013611111111
865,N2,260.835,LRP261b,A,25.0550555555555,92.1038888888888
866,N2,261.303,LRP262a,A,25.0587777777777,92.1061111111111
868,N2,263.432,LRP264a,A,25.0766666666666,92.1135833333333
871,N2,265.207,LRP266a,A,25.0920833333333,92.1178333333333
874,N2,268.95,LRP269a,A,25.1252493,92.1163611
878,N2,269.889,LRP270c,A,25.131666,92.1203049
882,N2,271.066,LRP272a,A,25.1408608,92.1197771
884,N2,272.5,LRP273a,A,25.15025,92.1126944
885,N2,272.983,LRP274a,A,25.1523333333333,92.1084444444444
887,N2,273.192,LRP274c,A,25.1536944,92.1073611
889,N2,274.13,LRP275a,A,25.1589167,92.1001389
892,N2,274.882,LRP276a,A,25.1645555555555,92.0960277777777
895,N2,279.957,LRP281a,A,25.1764166666666,92.0541944444444
898,N2,282.27,LRP283b,A,25.175,92.0252777777777
901,N2,283.11,LRP284b,A,25.1711111111111,92.0186111111111
902,N2,283.69,LRP284c,A,25.1680555555555,92.0180555555555
903,N2,284.01,LRP285a,A,25.165,92.0183333333333
904,N2,284.46,LRP285b,A,25.1613888888888,92.0172222222222
905,N2,284.64,LRP285c,A,24.9005555555555,91.9141666666666
1868,N102,0.984,LRPSc,A,23.4865277777777,91.1133611111111
1869,N102,2.059,LRP002a,A,23.49375,91.1064722222222
1870,N102,2.363,LRP002b,A,23.4963888888888,91.1059444444444
1871,N102,2.511,LRP002c,A,23.4977222222222,91.1056388888888
1872,N102,8.475,LRP008a,A,23.5421941,91.0742493
1874,N102,9.685,LRP009a,A,23.5501944444444,91.06625
1877,N102,15.109,LRP015a,A,23.5827222222222,91.0352777777777
1878,N102,17.318,LRP017a,A,23.5880277777777,91.0157777777777
1879,N102,19.122,LRP019a,A,23.5945,90.9996666666666
1880,N102,19.479,LRP019b,A,23.5966388888888,90.9970555555555
1883,N102,22.669,LRP022a,A,23.6165,90.9769444444444
1884,N102,23.564,LRP023b,A,23.623916,90.9726382
1890,N102,28.594,LRP028c,A,23.6611111111111,90.9860833333333
1893,N102,29.841,LRP029d,A,23.6675,90.9961388888889
1894,N102,33.647,LRP033c,A,23.6874444444444,91.0265
1898,N102,36.877,LRP036d,A,23.70525,91.0514166666666
1899,N102,37.737,LRP037c,A,23.7103611111111,91.0576944444444
1900,N102,37.955,LRP037d,A,23.7116944444444,91.0593055555555
1901,N102,38.49,LRP038b,A,23.7148333333333,91.0632777777777
1902,N102,38.952,LRP038d,A,23.7176944444444,91.0666666666666
1907,N102,45.274,LRP045a,A,23.7610555555555,91.1047777777777
1911,N102,50.862,LRP050c,A,23.7600278,91.1468052
1913,N102,55.346,LRP055c,A,23.8322777777777,91.1555
1915,N102,58.681,LRP058a,A,23.8605833333333,91.1552777777777
1916,N102,62.377,LRP062b,A,23.8870277777777,91.1341388888889
1917,N102,63.039,LRP062c,A,23.8924166666666,91.1313333333333
1920,N102,65.72,LRP065a,A,23.9166388888888,91.1226666666666
1922,N102,73.118,LRP073e,A,23.9679353219827,91.1013978806034
1925,N102,81.779,LRP082a,A,24.0458611111111,91.1146944444444
1926,N104,0.349,LRPSa,A,22.9698611111111,91.3629166666666
1929,N104,10.51,LRP010a,A,22.9610833333333,91.3330277777777
1932,N104,17.41,LRP017b,A,22.9411944444444,91.2764722222222
1941,N104,44.84,LRP044d,A,22.8633888888888,91.0968055555555
1947,N105,3.769,LRP003a,A,23.7161666666666,90.5701111111111
1948,N105,5.641,LRP005c,A,23.7276944444444,90.5834444444444
1949,N105,6.178,LRP006a,A,23.7309999999999,90.5872777777777
1952,N105,17.39,LRP017c,A,23.8393888888888,90.5361666666666
1954,N105,20.374,LRP020c,A,23.8601944444444,90.5179722222222
1958,N105,22.104,LRP022c,A,23.8714444444444,90.5068055555555
1961,N105,24.561,LRP024c,A,23.8859722222222,90.4924444444444
1963,N105,27.14,LRP027c,A,23.9028333333333,90.48025
1970,N105,30.49,LRP030c,A,23.9240277777777,90.4591666666666
1973,N105,32.178,LRP032c,A,23.9340277777777,90.4473055555555
1976,N105,34.834,LRP035d,A,23.9492222222222,90.4141111111111
1981,N105,38.653,LRP039b,A,23.9735833333333,90.3940277777777
1984,N105,39.716,LRP040c,A,23.9772777777777,90.3844166666666
1986,N105,40.635,LRP041c,A,23.9774444444444,90.3753888888888
1988,N105,41.73,LRP042b,A,23.9826944444444,90.3670555555555
2060,N108,4.942,LRP004a,A,22.1225549,92.1147778
2061,N108,5.323,LRP005a,A,22.1246111111111,92.1175555555555
2062,N108,5.473,LRP005b,A,22.1246111111111,92.1190277777777
2064,N108,6.986,LRP006c,A,22.1275277777777,92.1314166666666
2065,N108,7.692,LRP007c,A,22.1273611111111,92.1396111111111
2072,N108,12.506,LRP012d,A,22.1428333333333,92.1757222222222
2073,N108,12.68,LRP012g,A,22.1438888888888,92.1767777777777
2074,N108,12.987,LRP012i,A,22.1461388888888,92.1778888888888
2075,N108,13.0,LRP012j,A,22.1461944444444,92.1777777777777
2077,N108,13.38,LRP013c,A,22.1490555555555,92.1795277777777
2078,N108,13.726,LRP013d,A,22.1519444444444,92.1803333333333
2079,N108,13.793,LRP013e,A,22.1527222222222,92.1797222222222
2080,N108,13.933,LRP013f,A,22.1538055555555,92.17975
2081,N108,14.023,LRP013g,A,22.1546111111111,92.1795277777777
2083,N108,14.159,LRP014b,A,22.1556111111111,92.1788888888888
2084,N108,14.223,LRP014c,A,22.1560555555555,92.1784444444444
2085,N108,14.577,LRP014d,A,22.1589166666666,92.1770555555555
2086,N108,14.635,LRP014e,A,22.1594444444444,92.1767222222222
2087,N108,14.729,LRP014f,A,22.1601388888888,92.1762222222222
2093,N108,20.717,LRP020e,A,22.1850555555555,92.2103333333333
2096,N108,21.689,LRP021e,A,22.1899166666666,92.2151666666666
2099,N110,0.824,LRPSb,A,21.4246388888888,92.0155277777777
2100,N110,0.934,LRPsd,A,21.4245833333333,92.0145555555555
2102,N110,1.76,LRP001b,A,21.4272222222222,92.0070555555555
2109,N110,5.828,LRP005d,A,21.4263888888888,91.9783055555555
2110,N110,5.989,LRP005e,A,21.4277222222222,91.9775555555555
2112,N110,6.4,LRP006b,A,21.4306944444444,91.9760555555555
2113,N110,7.013,LRP007a,A,21.4340833333333,91.9726666666666
2616,N204,2.895,LRP003b,A,24.1310555555555,91.3572222222222
2622,N204,17.297,LRP020b,A,24.1422222222222,91.4829722222222
2626,N204,21.41,LRP025c,A,24.173,91.5020277777777
2631,N204,29.61,LRP035c,A,24.2332222222222,91.5039444444444
2635,N204,34.3,LRP041a,A,24.2665833333333,91.4769444444444
2643,N207,8.506,LRP008c,A,24.296,91.5887777777777
2651,N207,22.794,LRP022b,A,24.3025833,91.7186104
2662,N207,30.28,LRP030b,A,24.3603055555555,91.7493055555555
2673,N207,51.684,LRP051b,A,24.5222222222222,91.7308333333333
2680,N207,61.306,LRP061d,A,24.5763333333333,91.6928055555555
2685,N207,65.76,LRP066b,A,24.60975,91.6780277777777
13424,N1,34.111,LRP034c,C,23.5442777777777,90.6730833333333
13440,N1,93.6,LRP094a,C,23.4131111111111,91.1846388888889
13447,N1,189.58,LRP191c,C,22.7123888888888,91.6090277777777
13448,N1,205.615,LRP208a,C,22.5836388888888,91.6784444444444
15399,N1,11.808,LRP011c,B,23.6943055555555,90.5378611111111
15405,N1,18.093,LRP018d,B,23.6497543993548,90.5845490085483
15425,N1,74.279,LRP075a,B,23.4812777777777,91.0411388888888
15430,N1,109.289,LRP110a,B,23.3150277777777,91.2844722222222
15431,N1,109.897,LRP110c,B,23.3104166666666,91.2861111111111
15434,N1,115.052,LRP116a,B,23.2677777777777,91.3054722222222
15435,N1,115.326,LRP116b,B,23.2655277777777,91.3064444444444
15436,N1,115.525,LRP116c,B,23.26375,91.3067222222222
15440,N1,118.856,LRP119b,B,23.2345555555555,91.3131388888888
15442,N1,120.634,LRP121b,B,23.2185833333333,91.3143333333333
15448,N1,129.955,LRP131a,B,23.1374444444444,91.3264444444444
15453,N1,135.723,LRP136c,B,23.0901666666666,91.3494166666666
15454,N1,136.899,LRP137b,B,23.0809166666666,91.3548611111111
15465,N1,200.575,LRP202b,B,22.6235,91.6553888888889
15467,N1,204.342,LRP206c,B,22.5941777777777,91.6737333333333
15468,N1,209.514,LRP212a,B,23.5503333333333,91.6902222222222
15469,N1,213.386,LRP215b,B,22.5207222222222,91.7081388888889
15471,N1,218.441,LRP220b,B,22.4774722222222,91.721
15472,N1,220.725,LRP223a,B,22.4588055555555,91.7303611111111
15473,N1,225.702,LRP228a,B,22.4185555555555,91.7504444444444
15477,N1,249.348,LRP244b,B,22.3020833333333,91.8640555555555
15481,N1,262.116,LRP257a,B,22.3015833,91.897333
15487,N1,273.443,LRP269c,B,22.2278333333333,92.0261388888889
15488,N1,276.281,LRP272c,B,22.2060833333333,92.0370277777777
15490,N1,282.994,LRP279a,B,22.2084444,92.0356663
15495,N1,329.499,LRP326a,B,21.7836666666666,92.0793055555555
15496,N1,335.192,LRP331a,B,21.7392222222222,92.0829166666666
15497,N1,349.092,LRP345a,B,21.6213333333333,92.0724722222222
15499,N1,368.703,LRP365a,B,21.4668611111111,92.1025555555555
15501,N1,383.098,LRP379b,B,21.4163888888888,92.0353333333333
15502,N1,384.358,LRP380e,B,21.4106111111111,92.0452222222222
15503,N1,384.788,LRP381a,B,21.4102777777777,92.0340361111111
15504,N1,388.733,LRP385b,B,21.3858611111111,92.0702777777777
15505,N1,389.101,LRP385e,B,21.3825555555555,92.0713333333333
15506,N1,389.258,LRP385f,B,21.3814444444444,92.071
15507,N1,389.684,LRP386b,B,21.3785277777777,92.0702777777777
15508,N1,391.664,LRP388b,B,21.3643055555555,92.0814444444444
15509,N1,392.093,LRP388d,B,21.3614166666666,92.0801111111111
15510,N1,392.422,LRP388e,B,21.3585,92.0790833333333
15511,N1,395.328,LRP391c,B,21.33125,92.0792777777777
