id,weight,condition,lat,lon,id,road,chainage,economic_importance,road_segment,v_score,e_score,v_score_n,e_score_n,ve_score
10002,11.3,A,23.69873866,90.45886108,10002,N1,1.8153,24392720.0,N1-2,11.3,24392720.0,0.00612302022346108,0.9809138230190861,0.006006155175818388
10004,6.6,A,23.69466384,90.48777492,10004,N1,4.9469,12444000.0,N1-3,6.6,12444000.0,0.0033822397424832632,0.49009214469740786,0.001657609129274431
10008,394.23,A,23.70505989,90.52321415,10008,N1,9.39613,21540480.0,N1-5,394.23,21540480.0,0.22942665204917076,0.8637513801987486,0.1981675873618493
10010,8.0,B,23.69640009,90.53509898,10010,N1,10.97113,21540480.0,N1-5,16.0,21540480.0,0.008863800704438898,0.8637513801987486,0.007656120092265738
10012,6.3,A,23.69439061,90.53757408,10012,N1,11.314429999999998,21540480.0,N1-6,6.3,21540480.0,0.0032072963075272325,0.8637513801987486,0.0027703066123329974
10014,6.3,A,23.69430239,90.53770737,10014,N1,11.337729999999995,21540480.0,N1-6,6.3,21540480.0,0.0032072963075272325,0.8637513801987486,0.0027703066123329974
10016,8.3,A,23.69236015,90.54091839,10016,N1,11.745029999999998,21540480.0,N1-6,8.3,21540480.0,0.004373585873900772,0.8637513801987486,0.0037776908349995424
10018,10.6,B,23.69091193,90.5454625,10018,N1,12.26763,21540480.0,N1-6,21.2,21540480.0,0.011896153577010099,0.8637513801987486,0.010275319071198753
10022,9.3,A,23.68841233,90.54855853,10022,N1,12.71193,21540480.0,N1-6,9.3,21540480.0,0.004956730657087541,0.8637513801987486,0.004281382946332814
10024,6.1,A,23.68831973,90.54864981,10024,N1,12.732029999999998,21540480.0,N1-6,6.1,21540480.0,0.0030906673508898784,0.8637513801987486,0.0026695681900663426
10026,27.5,A,23.68558303,90.55120798,10026,N1,13.166529999999998,21540480.0,N1-6,27.5,21540480.0,0.015569965711086747,0.8637513801987486,0.013448579372598368
10028,27.5,A,23.68536198,90.55135918,10028,N1,13.222029999999998,21540480.0,N1-6,27.5,21540480.0,0.015569965711086747,0.8637513801987486,0.013448579372598368
10030,11.9,A,23.6778035,90.55581943,10030,N1,14.119929999999998,21540480.0,N1-6,11.9,21540480.0,0.006472907093373142,0.8637513801987486,0.0055909824357993215
10032,5.55,B,23.66330907,90.56385699,10032,N1,16.016479999999998,21540480.0,N1-7,11.1,21540480.0,0.006006391266823726,0.8637513801987486,0.005188028746732703
10034,159.52,C,23.65442571,90.57673023,10034,N1,17.845,21540480.0,N1-7,638.08,21540480.0,0.37162650742926456,0.8637513801987486,0.32099290871046776
10036,20.45,A,23.65397226,90.57741042,10036,N1,17.95345,21540480.0,N1-7,20.45,21540480.0,0.011458794989620021,0.8637513801987486,0.009897549987698798
10038,20.5,A,23.65397226,90.57741042,10038,N1,17.97395,21540480.0,N1-7,20.5,21540480.0,0.01148795222877936,0.8637513801987486,0.009922734593265462
10040,20.0,B,23.65157057,90.58149439,10040,N1,18.49395,21540480.0,N1-7,40.0,21540480.0,0.02285927550092137,0.8637513801987486,0.019744730764264272
10042,25.5,A,23.6497544,90.58454901,10042,N1,18.89045,21540480.0,N1-7,25.5,21540480.0,0.014403676144713207,0.8637513801987486,0.012441195149931824
10044,25.5,B,23.6497544,90.58454901,10044,N1,18.91595,21540480.0,N1-7,51.0,21540480.0,0.029273868115975835,0.8637513801987486,0.02528534398893027
10046,40.5,C,23.64596859,90.58921198,10046,N1,19.60545,21540480.0,N1-7,162.0,21540480.0,0.09400293904970725,0.8637513801987486,0.08119516834692347
10048,40.33,B,23.64596859,90.58921198,10048,N1,19.64578,21540480.0,N1-7,80.66,21540480.0,0.04656994238529542,0.8637513801987486,0.04022485201107512
10050,6.0,A,23.63795437,90.59366740000002,10050,N1,20.669780000000003,19930480.0,N1-8,6.0,19930480.0,0.003032352872571202,0.7976168568273831,0.0024186557670117285
10052,10.4,B,23.63380522,90.59739409,10052,N1,21.317180000000004,19930480.0,N1-8,20.8,19930480.0,0.01166289566373539,0.7976168568273831,0.00930252218081434
10054,89.75,A,23.62846685,90.60230157,10054,N1,22.19393,19930480.0,N1-8,89.75,19930480.0,0.05187072846446315,0.7976168568273831,0.041372967399171776
10056,86.92,A,23.62846685,90.60230157,10056,N1,22.28085,19930480.0,N1-8,86.92,19930480.0,0.050220428728044594,0.7976168568273831,0.040056660510586546
10058,5.5,B,23.61988322,90.60835289,10058,N1,23.43035,19930480.0,N1-9,11.0,19930480.0,0.0059480767885050495,0.7976168568273831,0.004744286312215313
10060,224.82,B,23.6176408,90.60955061,10060,N1,23.92317,19930480.0,N1-9,449.64,19930480.0,0.26173870448554964,0.7976168568273831,0.2087672027818354
10062,224.8,A,23.6176408,90.60955061,10062,N1,24.14797,19930480.0,N1-9,224.8,19930480.0,0.13062443143383637,0.7976168568273831,0.10418824842512059
10064,119.32,A,23.61358738,90.61090296,10064,N1,24.75229,19930480.0,N1-9,119.32,19930480.0,0.06911431970329593,0.7976168568273831,0.05512674644350578
10066,119.48,A,23.61358738,90.61090296,10066,N1,24.87177,19930480.0,N1-9,119.48,19930480.0,0.06920762286860581,0.7976168568273831,0.055201166620952286
10068,924.85,A,23.60275959,90.6155317,10068,N1,27.10862,19930480.0,N1-9,924.85,19930480.0,0.5388549369037344,0.7976168568273831,0.4297997810590745
10070,5.6,A,23.59298188,90.62796994,10070,N1,28.83622,19930480.0,N1-9,5.6,19930480.0,0.0027990949592964936,0.7976168568273831,0.002232605323395441
